Feature Set,Classifier,Features,CV Accuracy,Fold 1,Fold 2,Fold 3,Std,vs Baseline
Base Only,Logistic Regression,7,0.6666666666666666,0.8181818181818182,0.6363636363636364,0.5454545454545454,0.11338355717496797,0.07575757575757569
Base Only,SVM,7,0.6666666666666666,0.8181818181818182,0.5454545454545454,0.6363636363636364,0.11338355717496795,0.07575757575757569
Base Only,Decision Tree,7,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.2727272727272727,0.1484539238050411,-0.1363636363636364
Base Only,Random Forest,7,0.5454545454545455,0.8181818181818182,0.36363636363636365,0.45454545454545453,0.1963860817699352,-0.045454545454545414
Base Only,MLP,7,0.6060606060606061,0.9090909090909091,0.45454545454545453,0.45454545454545453,0.21427478217774165,0.015151515151515138
Base Only,XGBoost,7,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
VADER,Logistic Regression,11,0.6363636363636364,0.9090909090909091,0.6363636363636364,0.36363636363636365,0.22268088570756164,0.045454545454545414
VADER,SVM,11,0.5757575757575757,0.8181818181818182,0.2727272727272727,0.6363636363636364,0.22676711434993588,-0.015151515151515249
VADER,Decision Tree,11,0.6060606060606061,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.04285495643554835,0.015151515151515138
VADER,Random Forest,11,0.48484848484848486,0.8181818181818182,0.18181818181818182,0.45454545454545453,0.260676523243716,-0.10606060606060608
VADER,MLP,11,0.6666666666666666,0.9090909090909091,0.2727272727272727,0.8181818181818182,0.28101874228774865,0.07575757575757569
VADER,XGBoost,11,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
FinBERT,Logistic Regression,10,0.6363636363636364,0.8181818181818182,0.2727272727272727,0.8181818181818182,0.25712973861329,0.045454545454545414
FinBERT,SVM,10,0.6060606060606061,0.6363636363636364,0.45454545454545453,0.7272727272727273,0.11338355717496794,0.015151515151515138
FinBERT,Decision Tree,10,0.48484848484848486,0.45454545454545453,0.36363636363636365,0.6363636363636364,0.11338355717496791,-0.10606060606060608
FinBERT,Random Forest,10,0.5757575757575757,0.7272727272727273,0.36363636363636365,0.6363636363636364,0.15451574283614497,-0.015151515151515249
FinBERT,MLP,10,0.6060606060606061,0.8181818181818182,0.2727272727272727,0.7272727272727273,0.23860629921247914,0.015151515151515138
FinBERT,XGBoost,10,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
RoBERTa,Logistic Regression,10,0.6060606060606061,0.8181818181818182,0.45454545454545453,0.5454545454545454,0.15451574283614503,0.015151515151515138
RoBERTa,SVM,10,0.5757575757575758,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.21427478217774168,-0.015151515151515138
RoBERTa,Decision Tree,10,0.4545454545454546,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.12856486930664499,-0.13636363636363635
RoBERTa,Random Forest,10,0.48484848484848486,0.8181818181818182,0.2727272727272727,0.36363636363636365,0.23860629921247914,-0.10606060606060608
RoBERTa,MLP,10,0.5151515151515151,0.8181818181818182,0.2727272727272727,0.45454545454545453,0.22676711434993588,-0.0757575757575758
RoBERTa,XGBoost,10,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
Topic-Sentiment,Logistic Regression,12,0.6060606060606061,0.8181818181818182,0.5454545454545454,0.45454545454545453,0.15451574283614503,0.015151515151515138
Topic-Sentiment,SVM,12,0.5757575757575758,0.7272727272727273,0.45454545454545453,0.5454545454545454,0.11338355717496794,-0.015151515151515138
Topic-Sentiment,Decision Tree,12,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.12856486930664499,-0.045454545454545525
Topic-Sentiment,Random Forest,12,0.48484848484848486,0.8181818181818182,0.2727272727272727,0.36363636363636365,0.23860629921247914,-0.10606060606060608
Topic-Sentiment,MLP,12,0.48484848484848486,0.6363636363636364,0.2727272727272727,0.5454545454545454,0.154515742836145,-0.10606060606060608
Topic-Sentiment,XGBoost,12,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
Top-5 Corr,Logistic Regression,5,0.5757575757575758,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.21427478217774168,-0.015151515151515138
Top-5 Corr,SVM,5,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
Top-5 Corr,Decision Tree,5,0.6060606060606061,0.9090909090909091,0.45454545454545453,0.45454545454545453,0.21427478217774165,0.015151515151515138
Top-5 Corr,Random Forest,5,0.5454545454545454,0.8181818181818182,0.2727272727272727,0.5454545454545454,0.22268088570756167,-0.045454545454545525
Top-5 Corr,MLP,5,0.5454545454545454,0.8181818181818182,0.2727272727272727,0.5454545454545454,0.22268088570756167,-0.045454545454545525
Top-5 Corr,XGBoost,5,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
Top-10 Corr,Logistic Regression,10,0.6060606060606061,0.8181818181818182,0.2727272727272727,0.7272727272727273,0.23860629921247914,0.015151515151515138
Top-10 Corr,SVM,10,0.5757575757575757,0.8181818181818182,0.2727272727272727,0.6363636363636364,0.22676711434993588,-0.015151515151515249
Top-10 Corr,Decision Tree,10,0.42424242424242425,0.8181818181818182,0.2727272727272727,0.18181818181818182,0.28101874228774865,-0.16666666666666669
Top-10 Corr,Random Forest,10,0.6060606060606061,0.8181818181818182,0.2727272727272727,0.7272727272727273,0.23860629921247914,0.015151515151515138
Top-10 Corr,MLP,10,0.5757575757575757,0.9090909090909091,0.2727272727272727,0.5454545454545454,0.260676523243716,-0.015151515151515249
Top-10 Corr,XGBoost,10,0.5757575757575758,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.21427478217774168,-0.015151515151515138
GoEmotions PCA-12,Logistic Regression,19,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
GoEmotions PCA-12,SVM,19,0.5757575757575757,0.8181818181818182,0.2727272727272727,0.6363636363636364,0.22676711434993588,-0.015151515151515249
GoEmotions PCA-12,Decision Tree,19,0.5151515151515151,0.7272727272727273,0.2727272727272727,0.5454545454545454,0.18680042433239324,-0.0757575757575758
GoEmotions PCA-12,Random Forest,19,0.5757575757575758,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.21427478217774168,-0.015151515151515138
GoEmotions PCA-12,MLP,19,0.5757575757575757,0.8181818181818182,0.2727272727272727,0.6363636363636364,0.22676711434993588,-0.015151515151515249
GoEmotions PCA-12,XGBoost,19,0.5757575757575758,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.21427478217774168,-0.015151515151515138
All Sent PCA-15,Logistic Regression,22,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
All Sent PCA-15,SVM,22,0.5757575757575758,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.21427478217774168,-0.015151515151515138
All Sent PCA-15,Decision Tree,22,0.39393939393939387,0.5454545454545454,0.2727272727272727,0.36363636363636365,0.11338355717496791,-0.19696969696969707
All Sent PCA-15,Random Forest,22,0.5454545454545454,0.8181818181818182,0.2727272727272727,0.5454545454545454,0.22268088570756167,-0.045454545454545525
All Sent PCA-15,MLP,22,0.5757575757575758,0.8181818181818182,0.18181818181818182,0.7272727272727273,0.2810187422877486,-0.015151515151515138
All Sent PCA-15,XGBoost,22,0.5757575757575757,0.7272727272727273,0.36363636363636365,0.6363636363636364,0.15451574283614497,-0.015151515151515249
Composite,Logistic Regression,19,0.6060606060606061,0.8181818181818182,0.36363636363636365,0.6363636363636364,0.18680042433239324,0.015151515151515138
Composite,SVM,19,0.6363636363636364,0.9090909090909091,0.36363636363636365,0.6363636363636364,0.22268088570756164,0.045454545454545414
Composite,Decision Tree,19,0.48484848484848486,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.11338355717496792,-0.10606060606060608
Composite,Random Forest,19,0.5757575757575757,0.9090909090909091,0.2727272727272727,0.5454545454545454,0.260676523243716,-0.015151515151515249
Composite,MLP,19,0.6060606060606061,0.8181818181818182,0.36363636363636365,0.6363636363636364,0.18680042433239324,0.015151515151515138
Composite,XGBoost,19,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
Best + Dispersion,Logistic Regression,17,0.6363636363636364,0.8181818181818182,0.2727272727272727,0.8181818181818182,0.25712973861329,0.045454545454545414
Best + Dispersion,SVM,17,0.6969696969696969,0.9090909090909091,0.45454545454545453,0.7272727272727273,0.18680042433239322,0.10606060606060597
Best + Dispersion,Decision Tree,17,0.5151515151515151,0.9090909090909091,0.18181818181818182,0.45454545454545453,0.29998469504883835,-0.0757575757575758
Best + Dispersion,Random Forest,17,0.5757575757575757,0.9090909090909091,0.2727272727272727,0.5454545454545454,0.260676523243716,-0.015151515151515249
Best + Dispersion,MLP,17,0.6363636363636364,1.0,0.36363636363636365,0.5454545454545454,0.2676291171614499,0.045454545454545414
Best + Dispersion,XGBoost,17,0.6060606060606061,0.7272727272727273,0.2727272727272727,0.8181818181818182,0.23860629921247914,0.015151515151515138
Top-10 + PCA-6,Logistic Regression,6,0.6060606060606061,0.8181818181818182,0.2727272727272727,0.7272727272727273,0.23860629921247914,0.015151515151515138
Top-10 + PCA-6,SVM,6,0.6363636363636364,0.9090909090909091,0.2727272727272727,0.7272727272727273,0.2676291171614499,0.045454545454545414
Top-10 + PCA-6,Decision Tree,6,0.6060606060606061,0.7272727272727273,0.2727272727272727,0.8181818181818182,0.23860629921247914,0.015151515151515138
Top-10 + PCA-6,Random Forest,6,0.5454545454545454,0.8181818181818182,0.2727272727272727,0.5454545454545454,0.22268088570756167,-0.045454545454545525
Top-10 + PCA-6,MLP,6,0.6060606060606061,0.8181818181818182,0.2727272727272727,0.7272727272727273,0.23860629921247914,0.015151515151515138
Top-10 + PCA-6,XGBoost,6,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.19638608176993516,-0.045454545454545525
